aX,aY,aZ,gX,gY,gZ
-0.911,-0.334,1.479,-47.913,-139.832,-54.688
-0.953,-0.191,1.181,-109.680,-111.206,-85.388
-0.723,-0.098,1.220,-138.184,-59.509,-104.370
-0.592,-0.065,1.250,-137.939,-26.489,-100.830
-0.532,-0.149,1.379,-124.023,-11.047,-85.205
-0.541,-0.127,1.433,-120.300,-9.949,-75.562
-0.567,-0.071,1.529,-132.019,-13.794,-71.228
-0.716,-0.022,1.599,-151.428,-19.714,-74.646
-0.779,0.213,1.679,-162.537,-24.719,-84.412
-0.773,0.337,1.608,-149.963,-17.822,-103.088
-0.607,0.038,1.713,-129.761,-5.249,-131.958
-0.726,-0.146,1.496,-156.006,-10.315,-142.578
-0.563,-0.146,1.368,-174.683,-13.489,-150.391
-0.368,-0.108,1.237,-168.030,-30.823,-150.818
-0.207,-0.021,1.161,-152.161,-60.852,-136.230
-0.367,0.141,1.104,-133.667,-98.877,-110.840
-0.567,0.244,1.150,-123.291,-119.202,-88.196
-0.590,0.308,1.190,-125.549,-113.525,-89.722
-0.557,0.303,1.129,-134.827,-102.661,-99.548
-0.607,0.238,1.019,-144.592,-94.543,-109.131
-0.489,0.338,0.879,-153.564,-84.351,-131.042
-0.455,0.401,0.802,-155.396,-76.477,-140.320
-0.557,0.393,0.802,-155.884,-78.735,-136.536
-0.632,0.438,0.736,-154.785,-79.834,-136.719
-0.656,0.476,0.674,-149.475,-73.364,-136.230
-0.665,0.484,0.693,-142.273,-69.031,-135.254
-0.633,0.559,0.632,-147.095,-65.002,-128.479
-0.613,0.548,0.564,-156.677,-67.810,-115.356
-0.613,0.442,0.429,-164.429,-80.811,-88.928
-0.604,0.377,0.310,-159.851,-111.938,-38.635
-0.605,0.483,0.229,-155.518,-148.926,12.207
-0.502,0.654,0.260,-146.240,-171.509,21.057
-0.445,0.715,0.270,-127.930,-183.167,12.146
-0.417,0.700,0.255,-113.525,-183.777,4.822
-0.385,0.699,0.190,-106.750,-175.232,-4.089
-0.336,0.734,0.129,-108.887,-161.865,-21.423
-0.343,0.741,0.077,-106.750,-153.503,-37.170
-0.311,0.737,-0.012,-91.858,-155.151,-47.302
-0.210,0.734,-0.119,-84.534,-157.471,-53.955
-0.093,0.720,-0.214,-91.614,-155.212,-58.594
0.041,0.723,-0.294,-96.069,-150.330,-63.293
0.145,0.692,-0.352,-91.919,-143.555,-70.313
0.241,0.682,-0.396,-87.585,-132.629,-80.383
0.364,0.680,-0.401,-86.060,-117.981,-89.172
0.528,0.631,-0.406,-82.947,-104.431,-89.355
0.718,0.601,-0.406,-79.712,-91.980,-84.351
0.923,0.596,-0.430,-71.350,-84.961,-70.435
1.094,0.590,-0.456,-61.584,-80.933,-49.133
1.236,0.562,-0.465,-52.124,-75.745,-23.804
1.402,0.534,-0.489,-40.894,-66.284,1.770
1.606,0.506,-0.471,-27.832,-50.354,26.123
1.773,0.483,-0.472,-15.503,-29.358,50.720
1.916,0.450,-0.443,-3.357,-3.967,75.073
1.991,0.396,-0.351,10.559,23.621,100.952
1.926,0.360,-0.207,22.400,50.171,133.301
1.793,0.300,0.028,31.738,71.533,170.105
1.579,0.223,0.299,38.818,86.914,208.435
1.260,0.120,0.541,39.368,95.581,244.873
0.958,-0.031,0.714,37.415,100.769,277.893
0.770,-0.208,0.818,39.612,101.501,311.829
0.646,-0.380,0.918,42.175,97.351,347.107
0.504,-0.552,0.995,39.063,92.285,380.066
0.311,-0.731,1.065,32.043,91.492,407.410
0.092,-0.939,1.160,26.184,98.877,427.185
-0.275,-1.218,1.224,21.057,112.549,440.308
-0.656,-1.488,1.277,17.944,122.131,444.763
-0.988,-1.681,1.426,22.034,117.737,448.792
-1.384,-1.799,1.545,19.165,102.112,458.984
-1.837,-1.975,1.531,9.583,82.275,458.679
-2.120,-2.042,1.499,6.592,58.899,435.059
-2.258,-2.042,1.447,7.080,33.997,406.555
-2.468,-2.208,1.239,3.479,15.442,381.470
-2.670,-2.307,1.027,3.967,-0.183,342.224
-2.750,-2.202,0.897,15.015,-11.169,289.978
-2.693,-2.039,0.781,28.320,-13.489,238.037
-2.564,-1.901,0.604,33.264,-5.432,192.078
-2.366,-1.878,0.477,28.748,10.132,151.001
-2.107,-1.867,0.365,19.165,34.546,114.441
-1.921,-1.837,0.276,11.353,65.674,83.740
-1.864,-1.820,0.251,5.371,92.346,60.425
-2.176,-1.949,0.140,1.465,109.070,41.504
-2.775,-2.058,-0.042,2.747,104.248,9.521
-3.158,-1.956,0.015,30.945,63.660,-40.710
-3.139,-1.888,0.257,71.167,-4.456,-83.435
-2.905,-1.798,0.465,96.191,-73.608,-101.257
-2.706,-1.656,0.547,108.398,-120.911,-109.802
-2.570,-1.559,0.552,121.826,-137.573,-128.662
-2.409,-1.517,0.442,137.146,-126.282,-153.992
-2.292,-1.486,0.359,156.067,-105.774,-183.167
-2.233,-1.396,0.390,178.467,-94.788,-216.125
-2.085,-1.222,0.607,201.904,-97.839,-245.056
-1.924,-0.974,0.933,219.910,-116.028,-266.907
-1.809,-0.667,1.227,226.318,-138.428,-286.316
-1.636,-0.397,1.416,223.450,-152.344,-310.364
-1.406,-0.231,1.486,211.548,-158.630,-339.600
-1.220,-0.176,1.448,191.833,-159.973,-372.131
-0.888,-0.214,1.313,171.875,-157.349,-406.067
-0.552,-0.288,1.188,159.729,-163.513,-431.396
-0.147,-0.307,1.000,149.536,-178.040,-439.209
0.393,-0.289,0.834,144.958,-195.984,-430.725
0.845,-0.233,0.618,144.958,-218.506,-407.043
1.267,-0.100,0.363,149.414,-240.967,-373.474
1.597,0.055,0.130,163.147,-263.916,-330.200
1.764,0.263,0.021,177.185,-278.564,-281.006
1.769,0.561,0.131,184.448,-271.973,-240.845
1.648,0.896,0.358,181.152,-238.342,-217.102
1.339,0.953,0.634,167.969,-186.401,-214.294
1.111,1.142,0.734,138.794,-120.422,-245.605
1.115,1.142,0.573,111.206,-50.720,-268.555
1.259,0.910,0.327,100.342,-10.925,-263.428
1.291,0.759,0.119,97.290,-13.000,-217.468
1.148,0.756,0.034,98.022,-38.879,-151.917
0.960,0.818,0.073,109.192,-62.500,-99.182
0.873,0.932,0.200,122.620,-70.190,-69.397
0.833,1.085,0.433,128.235,-66.284,-55.115
0.561,1.213,0.571,124.878,-61.279,-53.955
0.296,1.318,0.736,126.343,-45.166,-78.979
0.152,1.369,0.718,130.981,-16.541,-117.493
0.183,1.274,0.638,138.123,9.583,-150.269
-1.096,-1.475,1.369,52.185,144.287,343.262
-1.615,-1.475,1.561,49.927,119.324,359.070
-2.138,-1.422,1.703,41.870,93.445,361.877
-2.636,-1.349,1.714,30.090,70.313,352.051
-2.958,-1.283,1.600,17.395,49.622,329.041
-3.036,-1.306,1.411,8.179,31.189,299.683
-3.029,-1.447,1.152,1.404,10.681,274.780
-3.023,-1.541,0.890,-2.991,-15.137,254.822
-3.104,-1.644,0.620,-0.244,-41.077,236.328
-3.131,-1.686,0.392,11.780,-63.660,209.900
-2.990,-1.562,0.307,30.090,-83.740,171.997
-2.920,-1.559,0.244,45.105,-94.543,132.629
-2.798,-1.492,0.190,53.101,-90.637,87.830
-2.776,-1.456,0.192,60.791,-82.947,47.363
-2.732,-1.360,0.184,65.063,-72.327,5.310
-2.636,-1.292,0.196,67.810,-63.721,-35.095
-2.525,-1.273,0.162,65.430,-60.974,-70.313
-2.442,-1.255,0.084,64.087,-63.538,-99.304
-2.360,-1.258,-0.049,71.716,-66.833,-125.916
-2.195,-1.273,-0.161,88.074,-71.960,-150.024
-1.956,-1.249,-0.185,108.032,-81.421,-166.016
-1.738,-1.151,-0.101,125.549,-96.985,-170.044
-1.588,-0.988,0.019,138.306,-111.755,-168.396
-1.463,-0.808,0.178,149.048,-120.361,-169.128
-1.369,-0.606,0.325,158.142,-123.718,-175.293
-1.370,-0.409,0.430,162.354,-125.183,-186.768
-1.375,-0.225,0.487,162.476,-121.765,-205.444
-1.336,-0.081,0.532,164.917,-112.671,-230.896
-1.331,0.041,0.583,158.936,-103.577,-264.404
-1.211,0.211,0.549,138.916,-93.628,-294.189
-0.900,0.221,0.502,139.282,-91.797,-321.533
-0.533,0.215,0.439,143.677,-106.750,-333.557
-0.256,0.261,0.377,138.000,-133.301,-318.726
-0.036,0.316,0.324,131.958,-158.142,-289.734
0.105,0.361,0.259,132.202,-175.903,-260.803
0.187,0.443,0.225,135.681,-185.242,-236.755
0.286,0.555,0.233,142.456,-186.157,-222.290
0.498,0.653,0.243,158.691,-180.115,-215.942
0.804,0.761,0.411,178.833,-173.523,-208.984
0.957,0.959,0.579,177.979,-171.265,-192.139
0.927,1.243,0.722,167.175,-166.992,-178.284
0.821,1.371,0.832,159.790,-152.710,-171.814
0.796,1.457,0.808,132.202,-124.634,-172.974
0.815,1.420,0.653,98.145,-87.341,-182.434
0.873,1.279,0.469,81.970,-52.673,-185.913
0.901,1.180,0.307,71.106,-31.616,-177.795
0.955,1.113,0.151,63.416,-24.597,-156.433
1.011,1.045,0.055,65.063,-32.227,-121.826
0.966,1.035,0.067,68.420,-51.758,-77.942
0.771,1.131,0.143,67.383,-72.510,-35.522
0.542,1.224,0.243,63.965,-80.444,-9.766
0.354,1.244,0.289,59.509,-69.702,-3.723
0.190,1.191,0.293,54.199,-47.485,-11.902
0.063,1.155,0.266,46.692,-22.949,-28.259
-0.040,1.109,0.215,36.316,0.916,-46.936
-0.063,1.067,0.150,30.762,22.888,-67.261
0.022,1.031,0.085,32.776,38.025,-83.984
0.121,0.928,0.054,35.156,36.377,-84.778
0.118,0.930,0.051,39.490,15.320,-70.068
0.136,0.997,0.086,40.039,-2.075,-49.927
0.056,1.023,0.110,30.151,-10.681,-20.386
-0.067,1.004,0.062,11.780,-14.648,7.507
-0.155,0.978,0.038,5.127,-15.991,17.944
-0.211,0.985,0.039,6.592,-15.198,18.433
-0.278,0.990,0.038,4.272,-12.451,14.160
-0.322,0.972,0.019,1.221,-4.211,7.324
-0.337,0.922,-0.023,0.183,5.920,0.000
-0.357,0.890,-0.057,-0.793,13.184,-5.737
-0.337,0.890,-0.067,-2.319,19.287,-10.498
-0.310,0.887,-0.066,-2.075,23.315,-13.672
-0.296,0.883,-0.075,-0.854,23.193,-14.709
-0.283,0.878,-0.075,1.099,20.691,-12.329
-0.287,0.876,-0.065,2.197,17.700,-7.507
-0.323,0.891,-0.058,2.930,15.137,-2.563
-0.345,0.889,-0.055,4.578,12.878,0.610
-0.347,0.879,-0.045,6.409,10.925,2.747
-0.347,0.886,-0.016,7.812,8.911,4.761
-0.363,0.915,0.010,8.362,7.629,5.432
-0.374,0.918,0.014,9.399,6.287,4.822
-0.372,0.910,0.015,11.536,4.456,4.456
-0.377,0.916,0.036,13.428,1.282,5.310
-0.406,0.950,0.064,13.855,-2.502,6.836
-0.435,0.969,0.071,13.794,-5.249,8.118
-0.437,0.965,0.080,13.367,-7.690,8.667
-0.426,0.973,0.082,11.719,-9.888,9.277
-0.417,0.973,0.095,11.108,-10.925,8.789
-0.414,0.988,0.102,9.705,-10.498,6.531
-0.410,0.981,0.098,7.446,-8.423,3.540
-0.406,0.971,0.078,5.432,-5.981,0.122
-0.385,0.958,0.060,1.953,-2.380,-2.014
-0.385,0.935,0.041,-0.305,-0.549,-1.404
-0.388,0.923,0.030,0.732,-1.831,-1.160
-0.381,0.921,0.022,1.709,-4.761,-0.854
-0.354,0.912,0.010,2.197,-7.935,1.953
-0.333,0.908,0.007,1.587,-11.475,7.141
-0.334,0.927,0.022,0.488,-14.038,11.169
-0.351,0.946,0.040,0.244,-14.160,12.207
-0.373,0.948,0.031,-0.366,-11.475,10.803
-0.385,0.939,0.010,-0.916,-7.324,7.751
-0.391,0.926,0.001,-1.343,-4.150,4.333
-0.374,0.917,-0.009,-1.160,-1.160,0.977
-0.350,0.910,-0.011,-0.610,1.404,-1.648
-0.358,0.909,-0.016,-0.305,2.502,-2.502
-0.372,0.897,-0.021,0.183,2.075,-2.197
-0.364,0.888,-0.021,1.587,0.061,-1.343
-0.349,0.897,-0.015,2.686,-3.662,0.793
-0.328,0.905,-0.012,3.052,-8.057,4.517
-0.304,0.907,-0.006,3.357,-11.353,7.996
-0.292,0.919,0.001,3.906,-12.024,9.521
-0.301,0.928,0.005,4.395,-10.437,9.521
-0.313,0.923,0.008,4.639,-7.874,8.057
-0.325,0.922,-0.001,4.639,-4.700,5.676
-0.337,0.909,-0.008,5.127,-1.648,2.563
-0.341,0.905,-0.013,5.615,0.549,-0.122
-0.334,0.910,-0.011,6.287,1.709,-1.648
-0.318,0.913,0.002,6.653,2.136,-2.319
-0.303,0.930,0.014,6.165,2.625,-2.014
-0.305,0.927,0.017,5.432,1.831,-0.488
-0.330,0.932,0.019,3.845,0.000,1.892
-0.894,-1.138,0.922,-6.409,133.179,275.879
-1.145,-1.197,1.002,-5.005,120.789,286.865
-1.365,-1.235,1.056,-5.310,110.168,292.847
-1.567,-1.332,1.045,-7.080,101.318,295.898
-1.739,-1.448,0.976,-9.338,88.867,295.166
-1.930,-1.576,0.868,-9.399,68.237,292.847
-2.103,-1.702,0.713,-7.812,41.748,289.307
-2.229,-1.783,0.603,-2.014,9.033,283.569
-2.309,-1.819,0.474,4.761,-26.123,280.823
-2.267,-1.801,0.377,9.033,-56.641,277.710
-2.327,-1.829,0.277,12.939,-77.393,269.287
-2.303,-1.838,0.115,15.869,-75.378,249.146
-2.336,-1.878,0.030,22.156,-62.134,223.633
-2.460,-1.969,-0.115,24.414,-38.940,183.350
-2.673,-1.897,-0.252,24.597,-3.296,123.413
-2.731,-1.952,-0.397,39.673,15.564,57.617
-2.584,-1.987,-0.466,63.721,18.799,-3.601
-2.564,-1.877,-0.394,70.801,8.545,-45.959
-2.506,-1.831,-0.372,77.637,-3.174,-73.181
-2.382,-1.746,-0.332,89.600,-16.174,-98.938
-2.235,-1.684,-0.278,108.459,-29.175,-127.258
-2.120,-1.585,-0.278,128.113,-37.842,-150.452
-2.031,-1.516,-0.313,145.508,-41.565,-169.678
-1.884,-1.461,-0.299,166.992,-44.861,-189.697
-1.741,-1.332,-0.204,191.589,-50.537,-206.543
-1.618,-1.177,-0.028,212.036,-58.838,-219.055
-1.488,-1.037,0.168,224.243,-64.636,-229.126
-1.374,-0.890,0.352,230.713,-67.688,-241.150
-1.264,-0.687,0.549,236.755,-69.092,-256.104
-1.153,-0.530,0.695,240.112,-71.716,-274.170
-1.006,-0.325,0.768,235.901,-77.332,-290.588
-0.845,-0.167,0.789,233.093,-88.257,-298.645
-0.697,-0.053,0.762,231.384,-99.976,-298.523
-0.573,0.061,0.701,224.243,-109.070,-292.786
-0.519,0.149,0.665,215.454,-117.371,-287.170
-0.453,0.241,0.654,209.778,-122.986,-283.142
-0.251,0.364,0.649,207.581,-126.099,-276.855
0.083,0.437,0.706,208.679,-134.888,-256.409
0.333,0.580,0.857,203.491,-155.396,-221.680
0.345,0.815,0.996,188.110,-178.772,-181.274
0.287,1.068,1.055,175.598,-188.354,-154.236
0.325,1.227,1.045,170.044,-179.138,-144.470
0.454,1.320,0.956,164.124,-159.058,-144.287
0.557,1.303,0.806,157.715,-135.925,-140.442
0.666,1.230,0.704,152.771,-113.647,-139.771
0.800,1.269,0.619,135.498,-94.666,-147.705
0.788,1.262,0.583,121.948,-78.308,-137.085
0.728,1.298,0.584,110.046,-59.204,-124.146
0.672,1.359,0.579,95.825,-41.565,-108.887
0.570,1.370,0.581,84.351,-32.349,-91.003
0.419,1.381,0.572,74.829,-29.785,-76.538
0.299,1.385,0.557,66.284,-25.818,-68.481
0.273,1.369,0.524,55.237,-18.555,-63.232
0.273,1.336,0.483,45.105,-14.038,-55.481
0.229,1.299,0.438,36.682,-11.719,-47.485
0.177,1.271,0.390,28.198,-8.057,-40.771
0.126,1.243,0.354,21.912,-2.502,-35.645
0.048,1.213,0.324,16.968,6.042,-35.950
-0.020,1.161,0.273,14.954,16.174,-41.321
-0.061,1.089,0.215,14.099,23.682,-45.227
-0.122,0.988,0.123,7.568,24.048,-38.208
-0.211,0.907,0.018,-4.211,16.724,-21.912
-0.261,0.857,-0.065,-12.939,5.188,-3.723
-0.299,0.830,-0.089,-15.259,-7.019,10.498
-0.338,0.841,-0.092,-14.832,-15.320,18.616
-0.354,0.837,-0.106,-13.794,-17.090,21.179
-0.375,0.812,-0.132,-12.451,-14.099,19.165
-0.400,0.806,-0.161,-10.864,-7.812,13.306
-0.437,0.785,-0.194,-8.301,0.122,5.981
-0.476,0.754,-0.227,-6.226,7.446,-0.671
-0.511,0.743,-0.241,-4.578,12.634,-4.883
-0.545,0.736,-0.239,-3.174,15.808,-7.690
-0.570,0.724,-0.238,-1.709,16.357,-9.521
-0.563,0.725,-0.226,0.488,14.099,-8.911
-0.559,0.744,-0.201,2.136,9.521,-6.104
-0.553,0.768,-0.166,3.662,5.127,-3.967
-0.537,0.799,-0.126,5.554,2.686,-3.784
-0.530,0.834,-0.085,7.019,3.601,-5.554
-0.536,0.866,-0.053,7.507,7.507,-9.827
-0.536,0.875,-0.035,7.935,13.184,-15.808
-0.511,0.873,-0.016,8.606,17.517,-21.240
-0.485,0.878,-0.007,8.179,18.311,-22.827
-0.460,0.872,-0.010,7.141,16.113,-20.691
-0.440,0.867,-0.008,6.531,11.475,-15.625
-0.438,0.875,-0.002,5.127,5.859,-8.057
-0.450,0.890,0.008,3.540,-0.916,-0.671
-0.467,0.904,0.022,2.625,-6.958,5.432
-0.475,0.923,0.038,2.258,-9.949,7.812
-0.495,0.936,0.026,1.892,-10.742,7.324
-0.500,0.924,0.009,1.526,-9.277,5.554
-0.465,0.904,-0.006,0.793,-5.554,2.319
-0.436,0.893,-0.019,1.160,-1.587,-1.099
-0.430,0.888,-0.025,1.526,2.258,-3.601
-0.432,0.875,-0.051,1.282,6.470,-5.066
-0.423,0.851,-0.073,1.404,9.460,-5.005
-0.409,0.834,-0.071,1.892,9.460,-3.052
-0.423,0.847,-0.043,2.808,5.981,0.732
-0.452,0.883,-0.015,3.418,0.488,5.615
-0.476,0.895,-0.003,3.113,-3.601,10.132
-0.496,0.898,-0.012,1.831,-5.005,12.512
-0.518,0.891,-0.019,1.099,-4.578,12.085
-0.537,0.891,-0.029,0.366,-3.357,9.766
-0.534,0.892,-0.035,0.732,-0.854,5.615
-0.523,0.894,-0.038,0.916,2.747,0.916
-0.514,0.885,-0.047,0.732,7.324,-3.479
-0.518,0.863,-0.073,0.549,10.742,-6.897
-0.515,0.839,-0.094,0.488,10.986,-7.812
-0.493,0.827,-0.098,1.343,7.935,-5.859
-0.473,0.834,-0.084,1.953,2.808,-1.831
-0.463,0.851,-0.066,1.770,-1.526,2.441
-0.467,0.863,-0.061,1.587,-4.211,5.493
-0.466,0.860,-0.054,1.404,-5.615,6.714
-0.476,0.861,-0.054,1.221,-6.226,7.324
-0.490,0.862,-0.054,0.549,-5.493,6.653
-0.492,0.854,-0.061,0.122,-3.296,4.395
-0.474,0.844,-0.073,0.488,-0.122,1.038
-0.458,0.835,-0.080,1.099,2.686,-1.587
-0.447,0.833,-0.078,2.258,3.418,-2.136
-0.447,0.839,-0.080,2.869,2.258,-0.549
-0.986,-1.449,1.046,-28.564,114.258,295.471
-1.334,-1.608,1.025,-26.306,105.347,298.462
-1.642,-1.731,0.975,-20.569,90.759,299.683
-1.897,-1.854,0.899,-15.442,71.350,304.199
-2.110,-2.028,0.762,-11.963,48.279,312.683
-2.253,-2.163,0.593,-10.864,21.667,322.266
-2.305,-2.269,0.479,-11.169,-6.531,332.336
-2.403,-2.378,0.288,-14.832,-30.029,338.684
-2.622,-2.555,-0.007,-16.846,-43.884,337.036
-2.950,-2.735,-0.340,-11.597,-54.138,314.392
-3.091,-2.718,-0.518,5.249,-58.289,264.404
-3.109,-2.664,-0.665,31.311,-56.824,204.468
-3.142,-2.591,-0.722,56.946,-44.678,141.113
-3.090,-2.508,-0.791,73.486,-6.042,72.083
-3.102,-2.617,-0.988,91.614,35.156,0.183
-3.064,-2.569,-1.105,126.343,55.969,-71.350
-2.891,-2.571,-1.067,167.969,53.162,-130.127
-2.708,-2.470,-0.744,204.041,18.921,-155.945
-2.452,-2.184,-0.242,220.947,-21.179,-162.964
-2.250,-1.899,0.352,236.511,-52.185,-178.589
-2.137,-1.535,0.826,242.004,-63.843,-203.857
-2.130,-1.150,1.129,242.920,-61.523,-237.366
-2.173,-0.741,1.340,243.469,-54.565,-285.339
-2.050,-0.441,1.500,242.065,-42.725,-346.191
-1.610,-0.219,1.613,231.812,-32.837,-407.288
-0.978,-0.101,1.730,219.482,-43.396,-445.679
-0.372,0.053,1.793,212.158,-81.238,-452.332
0.159,0.245,1.775,205.688,-127.441,-424.683
0.480,0.462,1.672,196.777,-170.715,-377.747
0.609,0.728,1.550,195.007,-202.759,-331.604
